,prompt,completion
0,starfish beat jmarkz87 in a head to head challenge playing stacks .,"['#itsmychance', '#prizes', '#1stplace', '#competition']"
1,"very good project wow @ <user> pretty impressive , testing it out for my next  <url>",['#competition']
2,"wow @ <user> pretty impressive , testing it out for my next  <url> nice",['#competition']
3,"very good project , i wish you more success in the future , soon go to the mars 🚀 🚀 🚀 wow @ <user> pretty impressive , testing it out for my next  <url>",['#competition']
4,"this wonderful project . <user> <user> <user> <user> wow @ <user> pretty impressive , testing it out for my next  <url>",['#competition']
5,starfish beat wvu164 in a head to head challenge playing stacks .,"['#itsmychance', '#prizes', '#1stplace', '#competition']"
6,"i know that , this is a great project . i like this project and always support your project . i hope this project will achieve success . <user> <user> <user> wow @ <user> pretty impressive , testing it out for my next  <url>",['#competition']
7,pantages beat jbassking in a head to head challenge playing hexigone .,"['#itsmychance', '#prizes', '#1stplace', '#competition']"
8,sweeneytoddrundgren won this <money> cash playing hoppy toad 🏆 .       <url>,"['#itsmychance', '#prizes', '#1stplace', '#competition', '#winner', '#winning']"
9,"good wow @ <user> pretty impressive , testing it out for my next  <url>",['#competition']
10,a few  you can implement to stay relevant and ahead of your competitors : •  offering • focus on new  •  existing  •  image • enhance your  • understand  • understand,"['#tips', '#expand', '#markets', '#maintain', '#customers', '#update', '#marketing', '#customers', '#competition', '#ecommerce']"
11,"holwow @ <user> pretty impressive , testing it out for my next  <url>",['#competition']
12,"good project 🔥 🔥 🔥 🚀 🚀 🚀 <user> <user> <user> wow @ <user> pretty impressive , testing it out for my next  <url>",['#competition']
13,i have entered to  a quizzie toy with <user> and <user>   <url> super,"['#win', '#competition', '#giveaway']"
14,"wow @ <user> pretty impressive , testing it out for my next  <url> . good project",['#competition']
15,"good airdrop wow @ <user> pretty impressive , testing it out for my next  <url>",['#competition']
16,"very good project wow @ <user> pretty impressive , testing it out for my next  <url>",['#competition']
17," a vacuum , summer duvet , rum , chocolates & gin ! with <user>     <url> super","['#win', '#competition', '#prize', '#giveaway', '#melaniesfabfinds']"
18,"i believe this is a faithful project and with the opportunity to take part in this airdrop . good project <user> <user> <user> wow @ <user> pretty impressive , testing it out for my next  <url>",['#competition']
19,"good project wow @ <user> pretty impressive , testing it out for my next  <url>",['#competition']
20,tweet_content,[]
21,just shit on the floor !,['#fridayfeeling']
22,just got the sudden urge to redecorate someone ’ s grandmas flower wallpaper with skulls and juice wrld lyrics,['#fridayfeeling']
23,saibot - that love didnt last     <url>,"['#fridayfeeling', '#spotify', '#nowplaying', '#newmusicfriday']"
24,"sanam johar wiki , age , net worth and everything else you want to know       . . . <url>","['#biography', '#competition', '#influencer', '#influencermarketing', '#fridayfeeling', '#mo']"
25,- trust is the most important part of a relationship . . . you must be <percent> sure that she will not tell your wife <wink> ho ho ho ! <url>,"['#fridayfeeling', '#trust']"
26,is it friday yet ? ? ? ? . . . . . . . .       <url>,"['#fridayfeeling', '#weekdayblues', '#tuesdaybluesday', '#meh', '#nothankyou', '#nottodaysatan']"
27,the sun came out today . i wasn ' t looking out for it and was blinded . every day i am bad or worse . it ' s not good to be one sided .,"['#quotesoftheday', '#laughing', '#motivated', '#mondaythoughts', '#poet', '#fridayfeeling', '#love', '#quote', '#quotes', '#saturdaymotivation', '#satsplat']"
28," electronic glasses , visor glasses , light up glasses , party glasses , performance glasses , children gifts , adult gifts <url> <url>",['#fridayfeeling']
29,smiling is more contagious than the flu ! 😁     <url>,"['#sloandental', '#fridayfeeling', '#glasgow', '#glaswegians']"
30,just pissed in the sink !,['#fridayfeeling']
31,join us for fast - track fortnight friday <date> to get support and prepare to take your computer science accelerator test . book here - <url> <user>   <url>,"['#fridayfeeling', '#computing']"
32,feliz martes hermosa week que estoy teniendo como dice  * ninguna mujer debe olvidar nunca que ella no necesita a nadie que no la necesite a ella marit monrar        <url>,"['#maritmonrar', '#fridayfeeling', '#fjyp', '#feelinggood', '#hannahlander', '#love', '#allnatural', '#cibaeña']"
